País,Ano,Taxa_homicidios,Continente
American Samoa,2008,5.3676386,Oceania
American Samoa,2009,3.6123252,Oceania
American Samoa,2010,9.115853,Oceania
American Samoa,2011,9.206408,Oceania
American Samoa,2012,3.7249844,Oceania
American Samoa,2013,5.6609116,Oceania
American Samoa,2014,5.7453103,Oceania
American Samoa,2015,7.786949,Oceania
American Samoa,2016,0.0,Oceania
American Samoa,2017,14.151993,Oceania
American Samoa,2018,26.846191,Oceania
American Samoa,2019,0.0,Oceania
American Samoa,2023,,Oceania
Americas,2000,15.4731,Outros
Americas,2001,16.230822,Outros
Americas,2002,16.26652,Outros
Americas,2003,16.091763,Outros
Americas,2004,15.066501,Outros
Americas,2005,14.792401,Outros
Americas,2006,15.034039,Outros
Americas,2007,14.639408,Outros
Americas,2008,15.580241,Outros
Americas,2009,16.307438,Outros
Americas,2010,16.619167,Outros
Americas,2011,16.89151,Outros
Americas,2012,17.011108,Outros
Americas,2013,16.498095,Outros
Americas,2014,16.234,Outros
Americas,2015,15.962302,Outros
Americas,2016,16.677736,Outros
Americas,2017,16.955256,Outros
Americas,2018,16.380625,Outros
Americas,2019,15.09908,Outros
Americas,2020,15.0788355,Outros
Americas,2021,14.964148,Outros
Americas,2022,14.632133,Outros
Andorra,2004,1.2998239,Europa
Andorra,2007,0.0,Europa
Andorra,2008,1.3148379,Europa
Andorra,2009,0.0,Europa
Andorra,2010,0.0,Europa
Andorra,2011,1.4170829,Europa
Andorra,2012,0.0,Europa
Andorra,2013,0.0,Europa
Andorra,2014,0.0,Europa
Andorra,2015,0.0,Europa
Andorra,2020,2.5740025,Europa
Andorra,2023,,Europa
Angola,2011,4.3488812,África
Angola,2012,4.8316097,África
Angola,2015,4.4582353,África
Angola,2016,4.102248,África
Angola,2023,,África
Anguilla,1990,0.0,América do Norte
Anguilla,1991,11.60564,América do Norte
Anguilla,1992,0.0,América do Norte
Anguilla,1993,10.963109,América do Norte
Anguilla,1994,0.0,América do Norte
Anguilla,1995,10.416124,América do Norte
Anguilla,1996,0.0,América do Norte
Anguilla,1997,9.870207,América do Norte
Anguilla,1998,0.0,América do Norte
Anguilla,1999,0.0,América do Norte
Anguilla,2000,9.051822,América do Norte
Anguilla,2001,0.0,América do Norte
Anguilla,2002,17.30029,América do Norte
Anguilla,2003,17.029972,América do Norte
Anguilla,2004,8.37942,América do Norte
Anguilla,2005,0.0,América do Norte
Anguilla,2006,40.56795,América do Norte
Anguilla,2007,31.937403,América do Norte
Anguilla,2008,7.855151,América do Norte
Anguilla,2009,7.724394,América do Norte
Anguilla,2010,0.0,América do Norte
Anguilla,2011,0.0,América do Norte
Anguilla,2012,37.160908,América do Norte
Anguilla,2013,7.29927,América do Norte
Anguilla,2014,28.327608,América do Norte
Anguilla,2023,,América do Norte
Antigua and Barbuda,1990,1.5790803,América do Norte
Antigua and Barbuda,1991,4.714461,América do Norte
Antigua and Barbuda,1992,3.0931501,América do Norte
Antigua and Barbuda,1993,6.075934,América do Norte
Antigua and Barbuda,1994,7.4546757,América do Norte
Antigua and Barbuda,1995,10.234218,América do Norte
Antigua and Barbuda,1996,4.2981176,América do Norte
Antigua and Barbuda,1997,1.4041493,América do Norte
Antigua and Barbuda,2000,6.6617813,América do Norte
Antigua and Barbuda,2001,9.184544,América do Norte
Antigua and Barbuda,2002,6.477103,América do Norte
Antigua and Barbuda,2003,6.4041395,América do Norte
Antigua and Barbuda,2004,5.0670753,América do Norte
Antigua and Barbuda,2005,3.7561507,América do Norte
Antigua and Barbuda,2006,13.59779,América do Norte
Antigua and Barbuda,2007,20.727789,América do Norte
Antigua and Barbuda,2008,19.218988,América do Norte
Antigua and Barbuda,2009,18.927408,América do Norte
Antigua and Barbuda,2010,7.0015755,América do Norte
Antigua and Barbuda,2012,11.40589,América do Norte
Antigua and Barbuda,2017,21.94932,América do Norte
Antigua and Barbuda,2018,13.09679,América do Norte
Antigua and Barbuda,2019,3.2567456,América do Norte
Antigua and Barbuda,2020,9.71251,América do Norte
Antigua and Barbuda,2021,17.163792,América do Norte
Antigua and Barbuda,2022,10.665188,América do Norte
Antigua and Barbuda,2023,,América do Norte
Argentina,2001,8.348343,América do Sul
Argentina,2002,9.423247,América do Sul
Argentina,2003,7.7511554,América do Sul
Argentina,2004,6.0462184,América do Sul
Argentina,2005,5.6257277,América do Sul
Argentina,2006,5.347438,América do Sul
Argentina,2007,5.364114,América do Sul
Argentina,2008,5.8872066,América do Sul
Argentina,2009,6.4938993,América do Sul
Argentina,2010,5.8004694,América do Sul
Argentina,2011,6.0475802,América do Sul
Argentina,2012,6.3119206,América do Sul
Argentina,2013,7.247288,América do Sul
Argentina,2014,7.53782,América do Sul
Argentina,2015,6.558466,América do Sul
Argentina,2016,6.0112333,América do Sul
Argentina,2017,5.259381,América do Sul
Argentina,2018,5.367726,América do Sul
Argentina,2019,5.158058,América do Sul
Argentina,2020,5.3690343,América do Sul
Argentina,2021,4.624887,América do Sul
Argentina,2022,4.3089128,América do Sul
Argentina,2023,,América do Sul
Armenia,1990,5.004864,Ásia
Armenia,1991,5.141486,Ásia
Armenia,1992,8.532528,Ásia
Armenia,1993,7.7516017,Ásia
Armenia,1994,4.653625,Ásia
Armenia,1995,3.4910495,Ásia
Armenia,1996,3.4556994,Ásia
Armenia,1997,3.0567784,Ásia
Armenia,1998,2.8698833,Ásia
Armenia,1999,2.8072102,Ásia
Armenia,2000,2.8719997,Ásia
Armenia,2001,2.8086894,Ásia
Armenia,2002,2.222195,Ásia
Armenia,2004,2.7073355,Ásia
Armenia,2005,1.903358,Ásia
Armenia,2006,2.6102872,Ásia
Armenia,2007,2.5629137,Ásia
Armenia,2008,3.251301,Ásia
Armenia,2009,3.2722766,Ásia
Armenia,2010,1.9006935,Ásia
Armenia,2011,2.4240553,Ásia
Armenia,2012,2.2302885,Ásia
Armenia,2013,2.1713767,Ásia
Armenia,2014,2.4914098,Ásia
Armenia,2015,2.6054378,Ásia
Armenia,2016,3.0357645,Ásia
Armenia,2017,2.4544842,Ásia
Armenia,2018,1.7627003,Ásia
Armenia,2019,2.5881,Ásia
Armenia,2020,1.85343,Ásia
Armenia,2021,2.185617,Ásia
Armenia,2023,,Ásia
Aruba,1990,0.0,América do Norte
Aruba,1995,7.7871513,América do Norte
Aruba,1999,2.3023703,América do Norte
Aruba,2001,4.4106054,América do Norte
Aruba,2002,5.4477506,América do Norte
Aruba,2003,4.314948,América do Norte
Aruba,2004,2.1381342,América do Norte
Aruba,2005,6.350349,América do Norte
Aruba,2006,5.2297697,América do Norte
Aruba,2007,3.0995898,América do Norte
Aruba,2008,5.102249,América do Norte
Aruba,2009,4.03177,América do Norte
Aruba,2010,3.9863865,América do Norte
Aruba,2011,1.9745675,América do Norte
Aruba,2012,3.9172864,América do Norte
Aruba,2013,5.8320374,América do Norte
Aruba,2014,1.9306138,América do Norte
Aruba,2023,,América do Norte
Asia,2000,3.3688762,Outros
Asia,2001,3.2861388,Outros
Asia,2002,3.1987464,Outros
Asia,2003,3.110312,Outros
Asia,2004,3.1070535,Outros
Asia,2005,2.9657845,Outros
Asia,2006,2.8758082,Outros
Asia,2007,2.8097327,Outros
Asia,2008,2.7752123,Outros
Asia,2009,2.7420762,Outros
Asia,2010,2.6782172,Outros
Asia,2011,2.7211475,Outros
Asia,2012,2.7030075,Outros
Asia,2013,2.6368656,Outros
Asia,2014,2.608817,Outros
Asia,2015,2.3975363,Outros
Asia,2016,2.315362,Outros
Asia,2017,2.1889129,Outros
Asia,2018,2.1029654,Outros
Asia,2019,2.037763,Outros
Asia,2020,2.0178237,Outros
Asia,2021,2.3276985,Outros
Asia,2022,2.01152,Outros
Australia,1990,2.1938055,Oceania
Australia,1991,1.9686081,Oceania
Australia,1992,1.7236933,Oceania
Australia,1993,1.888664,Oceania
Australia,1994,1.7971971,Oceania
Australia,1995,1.9774483,Oceania
Australia,1996,1.9437897,Oceania
Australia,1997,1.9771594,Oceania
Australia,1998,1.795538,Oceania
Australia,1999,2.0477753,Oceania
Australia,2000,1.9034636,Oceania
Australia,2001,1.8027713,Oceania
Australia,2002,1.879251,Oceania
Australia,2003,1.5330728,Oceania
Australia,2004,1.319946,Oceania
Australia,2005,1.2839751,Oceania
Australia,2006,1.3729398,Oceania
Australia,2007,1.2241472,Oceania
Australia,2008,1.2283583,Oceania
Australia,2009,1.2141697,Oceania
Australia,2010,1.0490859,Oceania
Australia,2011,1.1092706,Oceania
Australia,2012,1.0691061,Oceania
Australia,2013,1.0600654,Oceania
Australia,2014,1.0353829,Oceania
Australia,2015,0.9907542,Oceania
Australia,2016,0.9381831,Oceania
Australia,2017,0.84586084,Oceania
Australia,2018,0.88473505,Oceania
Australia,2019,0.887323,Oceania
Australia,2020,0.86092544,Oceania
Australia,2021,0.74456745,Oceania
Australia,2022,0.832779,Oceania
Australia,2023,,Oceania
Austria,1990,1.1590459,Europa
Austria,1991,1.3280661,Europa
Austria,1992,1.237116,Europa
Austria,1993,1.0119821,Europa
Austria,1994,1.1089597,Europa
Austria,1995,0.9814659,Europa
Austria,1996,1.2440248,Europa
Austria,1997,0.8284075,Europa
Austria,1998,0.9654129,Europa
Austria,1999,0.75080925,Europa
Austria,2000,1.0236655,Europa
Austria,2001,0.87068725,Europa
Austria,2002,0.80455583,Europa
Austria,2003,0.6157557,Europa
Austria,2004,0.7220467,Europa
Austria,2005,0.65637255,Europa
Austria,2006,0.73780537,Europa
Austria,2007,0.54251367,Europa
Austria,2008,0.69702065,Europa
Austria,2009,0.6112956,Europa
Austria,2010,0.7294182,Europa
Austria,2011,0.917628,Europa
Austria,2012,0.9608955,Europa
Austria,2013,0.7193787,Europa
Austria,2014,0.49145418,Europa
Austria,2015,0.5091166,Europa
Austria,2016,0.6180974,Europa
Austria,2017,0.79568094,Europa
Austria,2018,0.97279423,Europa
Austria,2019,0.86712295,Europa
Austria,2020,0.72969943,Europa
Austria,2021,0.7285295,Europa
Austria,2022,0.88370675,Europa
Austria,2023,,Europa
Austria,2023,,Europa
Azerbaijan,1990,4.4292846,Ásia
Azerbaijan,1991,4.7358365,Ásia
Azerbaijan,1992,7.378975,Ásia
Azerbaijan,1993,6.1756253,Ásia
Azerbaijan,1994,6.3795404,Ásia
Azerbaijan,1995,5.615179,Ásia
Azerbaijan,1996,5.032015,Ásia
Azerbaijan,1997,3.5499725,Ásia
Azerbaijan,1998,3.4821124,Ásia
Azerbaijan,1999,2.9871197,Ásia
Azerbaijan,2000,2.759349,Ásia
Azerbaijan,2001,2.6322072,Ásia
Azerbaijan,2002,2.532212,Ásia
Azerbaijan,2007,2.1287594,Ásia
Azerbaijan,2008,2.1334054,Ásia
Azerbaijan,2010,2.2301123,Ásia
Azerbaijan,2011,2.2545106,Ásia
Azerbaijan,2012,2.129549,Ásia
Azerbaijan,2013,2.2986164,Ásia
Azerbaijan,2014,2.4225302,Ásia
Azerbaijan,2015,2.1392045,Ásia
Azerbaijan,2016,1.6940236,Ásia
Azerbaijan,2017,1.8070674,Ásia
Azerbaijan,2018,1.9404045,Ásia
Azerbaijan,2019,1.6417869,Ásia
Azerbaijan,2020,2.236277,Ásia
Azerbaijan,2021,1.9102119,Ásia
Azerbaijan,2022,2.3653047,Ásia
Azerbaijan,2023,,Ásia
Bahamas,1990,16.624859,América do Norte
Bahamas,1991,10.142815,América do Norte
Bahamas,1992,14.540425,América do Norte
Bahamas,1993,12.145841,América do Norte
Bahamas,1994,17.687284,América do Norte
Bahamas,1995,13.353185,América do Norte
Bahamas,1996,16.725014,América do Norte
Bahamas,1997,14.830553,América do Norte
Bahamas,2000,22.76825,América do Norte
Bahamas,2001,13.045088,América do Norte
Bahamas,2002,15.568769,América do Norte
Bahamas,2003,14.771463,América do Norte
Bahamas,2004,12.824642,América do Norte
Bahamas,2005,14.95095,América do Norte
Bahamas,2006,17.296892,América do Norte
Bahamas,2007,21.808025,América do Norte
Bahamas,2008,20.121555,América do Norte
Bahamas,2009,23.637674,América do Norte
Bahamas,2010,25.182709,América do Norte
Bahamas,2011,33.60233,América do Norte
Bahamas,2012,28.791214,América do Norte
Bahamas,2013,30.856995,América do Norte
Bahamas,2014,31.35191,América do Norte
Bahamas,2015,37.178745,América do Norte
Bahamas,2016,28.031967,América do Norte
Bahamas,2017,30.57491,América do Norte
Bahamas,2018,22.642082,América do Norte
Bahamas,2019,23.482475,América do Norte
Bahamas,2020,17.959438,América do Norte
Bahamas,2021,29.173424,América do Norte
Bahamas,2022,31.22073,América do Norte
Bahamas,2023,,América do Norte
Bahrain,1995,0.8157485,Ásia
Bahrain,1996,1.2643104,Ásia
Bahrain,1997,0.9193395,Ásia
Bahrain,2001,1.2324429,Ásia
Bahrain,2002,1.069055,Ásia
Bahrain,2007,0.38441873,Ásia
Bahrain,2008,0.5403731,Ásia
Bahrain,2009,1.1022059,Ásia
Bahrain,2010,0.16479284,Ásia
Bahrain,2011,0.99003613,Ásia
Bahrain,2012,0.7347299,Ásia
Bahrain,2013,0.87185824,Ásia
Bahrain,2014,0.6864282,Ásia
Bahrain,2015,0.22024135,Ásia
Bahrain,2016,0.28375617,Ásia
Bahrain,2017,0.411852,Ásia
Bahrain,2018,0.3361706,Ásia
Bahrain,2019,0.26770374,Ásia
Bahrain,2020,0.0,Ásia
Bahrain,2021,0.06834027,Ásia
Bahrain,2022,0.2037721,Ásia
Bahrain,2023,,Ásia
Bangladesh,2000,2.587595,Ásia
Bangladesh,2001,2.7933366,Ásia
Bangladesh,2002,2.611454,Ásia
Bangladesh,2003,2.5427973,Ásia
Bangladesh,2004,2.8114474,Ásia
Bangladesh,2005,2.549098,Ásia
Bangladesh,2006,2.9208682,Ásia
Bangladesh,2007,2.6801088,Ásia
Bangladesh,2008,2.8187065,Ásia
Bangladesh,2009,2.8758037,Ásia
Bangladesh,2010,2.687492,Ásia
Bangladesh,2011,2.640286,Ásia
Bangladesh,2012,2.7049658,Ásia
Bangladesh,2013,2.852039,Ásia
Bangladesh,2014,2.8943079,Ásia
Bangladesh,2015,2.556548,Ásia
Bangladesh,2016,2.247401,Ásia
Bangladesh,2017,2.1935306,Ásia
Bangladesh,2018,2.339875,Ásia
Bangladesh,2023,,Ásia
Barbados,1990,13.134107,América do Norte
Barbados,1991,8.095543,América do Norte
Barbados,1992,8.454628,América do Norte
Barbados,1993,8.046116,América do Norte
Barbados,1994,7.6420026,América do Norte
Barbados,1995,6.481042,América do Norte
Barbados,1998,7.586059,América do Norte
Barbados,1999,8.706532,América do Norte
Barbados,2000,7.556951,América do Norte
Barbados,2001,9.420578,América do Norte
Barbados,2002,9.382447,América do Norte
Barbados,2003,12.336494,América do Norte
Barbados,2004,8.193516,América do Norte
Barbados,2005,10.761586,América do Norte
Barbados,2006,12.942567,América do Norte
Barbados,2007,9.210003,América do Norte
Barbados,2008,8.4361725,América do Norte
Barbados,2009,6.939587,América do Norte
Barbados,2010,11.284586,América do Norte
Barbados,2011,9.800843,América do Norte
Barbados,2012,7.965315,América do Norte
Barbados,2013,8.668485,América do Norte
Barbados,2014,9.009236,América do Norte
Barbados,2015,11.147751,América do Norte
Barbados,2016,7.8952374,América do Norte
Barbados,2017,10.745486,América do Norte
Barbados,2018,10.011137,América do Norte
Barbados,2019,17.131874,América do Norte
Barbados,2020,14.606706,América do Norte
Barbados,2021,11.379821,América do Norte
Barbados,2022,15.267989,América do Norte
Barbados,2023,,América do Norte
Belarus,1990,4.8712544,Europa
Belarus,1991,4.44652,Europa
Belarus,1992,5.6701527,Europa
Belarus,1993,7.2134075,Europa
Belarus,1994,7.9137826,Europa
Belarus,1995,9.176332,Europa
Belarus,1996,9.29434,Europa
Belarus,1997,9.816436,Europa
Belarus,1998,10.002446,Europa
Belarus,1999,9.448712,Europa
Belarus,2000,9.87668,Europa
Belarus,2001,9.498874,Europa
Belarus,2002,9.75789,Europa
Belarus,2007,6.604935,Europa
Belarus,2008,5.639659,Europa
Belarus,2009,4.9909263,Europa
Belarus,2010,4.12067,Europa
Belarus,2011,3.8425949,Europa
Belarus,2012,3.5074148,Europa
Belarus,2013,3.4361293,Europa
Belarus,2014,3.5074182,Europa
Belarus,2015,3.3606138,Europa
Belarus,2016,3.1623044,Europa
Belarus,2017,2.4722195,Europa
Belarus,2018,2.3309605,Europa
Belarus,2019,2.3258288,Europa
Belarus,2023,,Europa
Belgium,1990,1.0409307,Europa
Belgium,1991,1.023646,Europa
Belgium,1992,1.2075212,Europa
Belgium,1993,1.4407883,Europa
Belgium,1994,1.1917552,Europa
Belgium,1995,1.4066094,Europa
Belgium,1996,1.1853924,Europa
Belgium,1997,1.4278859,Europa
Belgium,2000,2.0654025,Europa
Belgium,2001,2.735406,Europa
Belgium,2002,3.0804682,Europa
Belgium,2021,1.0765264,Europa
Belgium,2023,,Europa
Belize,2000,17.054483,América do Norte
Belize,2001,25.796103,América do Norte
Belize,2002,33.9861,América do Norte
Belize,2003,25.37898,América do Norte
Belize,2004,29.030403,América do Norte
Belize,2005,28.88988,América do Norte
Belize,2006,31.863733,América do Norte
Belize,2007,32.640865,América do Norte
Belize,2008,33.696304,América do Norte
Belize,2009,30.874954,América do Norte
Belize,2010,40.048866,América do Norte
Belize,2011,37.628494,América do Norte
Belize,2012,43.019176,América do Norte
Belize,2013,28.721668,América do Norte
Belize,2014,34.909958,América do Norte
Belize,2015,33.067406,América do Norte
Belize,2016,37.57019,América do Norte
Belize,2017,37.89764,América do Norte
Belize,2018,37.42809,América do Norte
Belize,2019,34.43889,América do Norte
Belize,2020,25.827984,América do Norte
Belize,2021,31.247578,América do Norte
Belize,2022,27.882475,América do Norte
Belize,2023,,América do Norte
Benin,2023,,África
Bermuda,1990,1.7400383,América do Norte
Bermuda,1991,5.183675,América do Norte
Bermuda,1992,1.7146041,América do Norte
Bermuda,1993,5.107296,América do Norte
Bermuda,1994,10.15031,América do Norte
Bermuda,1996,6.6844363,América do Norte
Bermuda,1997,3.3207698,América do Norte
Bermuda,1998,0.0,América do Norte
Bermuda,1999,3.279683,América do Norte
Bermuda,2000,0.0,América do Norte
Bermuda,2001,4.857277,América do Norte
Bermuda,2002,1.6092824,América do Norte
Bermuda,2003,3.201665,América do Norte
Bermuda,2004,1.5938668,América do Norte
Bermuda,2005,3.1766958,América do Norte
Bermuda,2006,4.755828,América do Norte
Bermuda,2007,4.7501802,América do Norte
Bermuda,2008,7.904201,América do Norte
Bermuda,2009,9.470669,América do Norte
Bermuda,2010,11.03283,América do Norte
Bermuda,2011,12.591882,América do Norte
Bermuda,2012,9.439825,América do Norte
Bermuda,2013,7.873272,América do Norte
Bermuda,2014,6.3136296,América do Norte
Bermuda,2015,6.334727,América do Norte
Bermuda,2016,12.684721,América do Norte
Bermuda,2017,7.902015,América do Norte
Bermuda,2018,7.8652215,América do Norte
Bermuda,2019,0.0,América do Norte
Bermuda,2020,10.93229,América do Norte
Bermuda,2021,10.905975,América do Norte
Bermuda,2022,14.022186,América do Norte
Bermuda,2023,6.243269,América do Norte
Bhutan,1990,3.5813925,Ásia
Bhutan,1991,2.1137552,Ásia
Bhutan,1992,4.9455624,Ásia
Bhutan,1993,3.6479673,Ásia
Bhutan,1994,3.8368604,Ásia
Bhutan,1995,3.0329683,Ásia
Bhutan,1996,2.232583,Ásia
Bhutan,1997,1.2800235,Ásia
Bhutan,1998,1.9743602,Ásia
Bhutan,1999,2.2767475,Ásia
Bhutan,2000,3.0653586,Ásia
Bhutan,2001,3.14969,Ásia
Bhutan,2002,3.069229,Ásia
Bhutan,2003,0.7878644,Ásia
Bhutan,2004,2.3077242,Ásia
Bhutan,2005,1.6583173,Ásia
Bhutan,2006,1.3367802,Ásia
Bhutan,2007,2.0539498,Ásia
Bhutan,2008,2.6096904,Ásia
Bhutan,2009,2.2933233,Ásia
Bhutan,2010,2.267842,Ásia
Bhutan,2011,4.485999,Ásia
Bhutan,2012,4.576053,Ásia
Bhutan,2013,3.2926848,Ásia
Bhutan,2015,1.6144786,Ásia
Bhutan,2016,1.2003818,Ásia
Bhutan,2017,1.7193004,Ásia
Bhutan,2018,1.1809528,Ásia
Bhutan,2019,1.042401,Ásia
Bhutan,2020,2.4595277,Ásia
Bhutan,2023,,Ásia
Bolivia,2015,4.896265,América do Sul
Bolivia,2016,5.700072,América do Sul
Bolivia,2017,6.5322704,América do Sul
Bolivia,2018,4.945332,América do Sul
Bolivia,2019,4.219977,América do Sul
Bolivia,2020,3.5857422,América do Sul
Bolivia,2021,3.460416,América do Sul
Bolivia,2022,3.967569,América do Sul
Bolivia,2023,4.318496,América do Sul
"Bonaire, Sint Eustatius and Saba",2023,,América do Norte
Bosnia and Herzegovina,1990,1.6242757,Europa
Bosnia and Herzegovina,2000,2.3687894,Europa
Bosnia and Herzegovina,2001,1.9547397,Europa
Bosnia and Herzegovina,2002,2.1436687,Europa
Bosnia and Herzegovina,2004,1.6413782,Europa
Bosnia and Herzegovina,2007,1.6467575,Europa
Bosnia and Herzegovina,2008,1.673686,Europa
Bosnia and Herzegovina,2009,1.8309587,Europa
Bosnia and Herzegovina,2010,1.4693967,Europa
Bosnia and Herzegovina,2011,1.3624917,Europa
Bosnia and Herzegovina,2012,1.7145778,Europa
Bosnia and Herzegovina,2013,1.2715757,Europa
Bosnia and Herzegovina,2014,1.4001414,Europa
Bosnia and Herzegovina,2015,1.6173314,Europa
Bosnia and Herzegovina,2016,1.2927371,Europa
Bosnia and Herzegovina,2017,1.2209207,Europa
Bosnia and Herzegovina,2018,1.1470153,Europa
Bosnia and Herzegovina,2019,1.2497351,Europa
Bosnia and Herzegovina,2020,1.2958021,Europa
Bosnia and Herzegovina,2021,0.9783111,Europa
Bosnia and Herzegovina,2022,1.0824096,Europa
Bosnia and Herzegovina,2023,,Europa
Botswana,2001,12.089016,África
Botswana,2002,14.205091,África
Botswana,2003,17.078447,África
Botswana,2004,13.931584,África
Botswana,2005,15.373992,África
Botswana,2006,13.532403,África
Botswana,2007,14.235042,África
Botswana,2008,13.998765,África
Botswana,2009,14.104462,África
Botswana,2010,14.486074,África
Botswana,2020,8.678912,África
Botswana,2021,10.546963,África
Botswana,2023,,África
Brazil,1990,19.442558,América do Sul
Brazil,1991,18.357327,América do Sul
Brazil,1992,16.656002,América do Sul
Brazil,1993,17.680256,América do Sul
Brazil,1994,18.543499,América do Sul
Brazil,1995,20.793213,América do Sul
Brazil,1996,23.424881,América do Sul
Brazil,1997,24.0331,América do Sul
Brazil,1998,24.526455,América do Sul
Brazil,1999,24.73625,América do Sul
Brazil,2000,25.79976,América do Sul
Brazil,2001,26.90898,América do Sul
Brazil,2002,27.543724,América do Sul
Brazil,2003,27.960468,América do Sul
Brazil,2004,26.19828,América do Sul
Brazil,2005,25.478415,América do Sul
Brazil,2006,26.037931,América do Sul
Brazil,2007,25.018942,América do Sul
Brazil,2008,26.020863,América do Sul
Brazil,2009,26.455711,América do Sul
Brazil,2010,26.630033,América do Sul
Brazil,2011,26.355639,América do Sul
Brazil,2012,28.197144,América do Sul
Brazil,2013,28.179903,América do Sul
Brazil,2014,29.358646,América do Sul
Brazil,2015,28.356405,América do Sul
Brazil,2016,29.589155,América do Sul
Brazil,2017,30.593037,América do Sul
Brazil,2018,26.636013,América do Sul
Brazil,2019,20.810465,América do Sul
Brazil,2020,22.384066,América do Sul
Brazil,2021,21.258247,América do Sul
Brazil,2022,20.605768,América do Sul
Brazil,2023,,América do Sul
British Indian Ocean Territory,2023,,Ásia
British Virgin Islands,1990,6.4034834,América do Norte
British Virgin Islands,1991,0.0,América do Norte
British Virgin Islands,1992,0.0,América do Norte
British Virgin Islands,1993,0.0,América do Norte
British Virgin Islands,1994,0.0,América do Norte
British Virgin Islands,1995,11.315738,América do Norte
British Virgin Islands,1996,11.037223,América do Norte
British Virgin Islands,1999,5.1056876,América do Norte
British Virgin Islands,2001,4.841091,América do Norte
British Virgin Islands,2002,4.6975923,América do Norte
British Virgin Islands,2003,9.09856,América do Norte
British Virgin Islands,2004,17.609121,América do Norte
British Virgin Islands,2006,8.222839,América do Norte
British Virgin Islands,2023,,América do Norte
Brunei,1996,2.9392939,Ásia
Brunei,1997,2.554156,Ásia
Brunei,1998,1.2494045,Ásia
Brunei,1999,1.2230752,Ásia
Brunei,2000,1.1978683,Ásia
Brunei,2003,0.84735113,Ásia
Brunei,2004,0.5548458,Ásia
Brunei,2005,0.5453789,Ásia
Brunei,2006,0.8047038,Ásia
Brunei,2007,0.79208237,Ásia
Brunei,2008,0.26003203,Ásia
Brunei,2009,0.76861787,Ásia
Brunei,2010,0.25249177,Ásia
Brunei,2011,0.24906228,Ásia
Brunei,2012,0.98368555,Ásia
