country ,Year,"Homicide rate per 100,000 population - sex: Total - age: Total"
Anguilla,1990,0
Anguilla,1991,11.60564
Anguilla,1992,0
Anguilla,1993,10.963109
Anguilla,1994,0
Anguilla,1995,10.416124
Anguilla,1996,0
Anguilla,1997,9.870207
Anguilla,1998,0
Anguilla,1999,0
Anguilla,2000,9.051822
Anguilla,2001,0
Anguilla,2002,17.30029
Anguilla,2003,17.029972
Anguilla,2004,8.37942
Anguilla,2005,0
Anguilla,2006,40.56795
Anguilla,2007,31.937403
Anguilla,2008,7.855151
Anguilla,2009,7.724394
Anguilla,2010,0
Anguilla,2011,0
Anguilla,2012,37.160908
Anguilla,2013,7.29927
Anguilla,2014,28.327608
Anguilla,2023,
Antigua and Barbuda,1990,1.5790803
Antigua and Barbuda,1991,4.714461
Antigua and Barbuda,1992,3.0931501
Antigua and Barbuda,1993,6.075934
Antigua and Barbuda,1994,7.4546757
Antigua and Barbuda,1995,10.234218
Antigua and Barbuda,1996,4.2981176
Antigua and Barbuda,1997,1.4041493
Antigua and Barbuda,2000,6.6617813
Antigua and Barbuda,2001,9.184544
Antigua and Barbuda,2002,6.477103
Antigua and Barbuda,2003,6.4041395
Antigua and Barbuda,2004,5.0670753
Antigua and Barbuda,2005,3.7561507
Antigua and Barbuda,2006,13.59779
Antigua and Barbuda,2007,20.727789
Antigua and Barbuda,2008,19.218988
Antigua and Barbuda,2009,18.927408
Antigua and Barbuda,2010,7.0015755
Antigua and Barbuda,2012,11.40589
Antigua and Barbuda,2017,21.94932
Antigua and Barbuda,2018,13.09679
Antigua and Barbuda,2019,3.2567456
Antigua and Barbuda,2020,9.71251
Antigua and Barbuda,2021,17.163792
Antigua and Barbuda,2022,10.665188
Antigua and Barbuda,2023,
Argentina,2001,8.348343
Argentina,2002,9.423247
Argentina,2003,7.7511554
Argentina,2004,6.0462184
Argentina,2005,5.6257277
Argentina,2006,5.347438
Argentina,2007,5.364114
Argentina,2008,5.8872066
Argentina,2009,6.4938993
Argentina,2010,5.8004694
Argentina,2011,6.0475802
Argentina,2012,6.3119206
Argentina,2013,7.247288
Argentina,2014,7.53782
Argentina,2015,6.558466
Argentina,2016,6.0112333
Argentina,2017,5.259381
Argentina,2018,5.367726
Argentina,2019,5.158058
Argentina,2020,5.3690343
Argentina,2021,4.624887
Argentina,2022,4.3089128
Argentina,2023,
Armenia,1990,5.004864
Armenia,1991,5.141486
Armenia,1992,8.532528
Armenia,1993,7.7516017
Armenia,1994,4.653625
Armenia,1995,3.4910495
Armenia,1996,3.4556994
Armenia,1997,3.0567784
Armenia,1998,2.8698833
Armenia,1999,2.8072102
Armenia,2000,2.8719997
Armenia,2001,2.8086894
Armenia,2002,2.222195
Armenia,2004,2.7073355
Armenia,2005,1.903358
Armenia,2006,2.6102872
Armenia,2007,2.5629137
Armenia,2008,3.251301
Armenia,2009,3.2722766
Armenia,2010,1.9006935
Armenia,2011,2.4240553
Armenia,2012,2.2302885
Armenia,2013,2.1713767
Armenia,2014,2.4914098
Armenia,2015,2.6054378
Armenia,2016,3.0357645
Armenia,2017,2.4544842
Armenia,2018,1.7627003
Armenia,2019,2.5881
Armenia,2020,1.85343
Armenia,2021,2.185617
Armenia,2023,
Aruba,1990,0
Aruba,1995,7.7871513
Aruba,1999,2.3023703
Aruba,2001,4.4106054
Aruba,2002,5.4477506
Aruba,2003,4.314948
Aruba,2004,2.1381342
Aruba,2005,6.350349
Aruba,2006,5.2297697
Aruba,2007,3.0995898
Aruba,2008,5.102249
Aruba,2009,4.03177
Aruba,2010,3.9863865
Aruba,2011,1.9745675
Aruba,2012,3.9172864
Aruba,2013,5.8320374
Aruba,2014,1.9306138
Aruba,2023,
Asia (UN),2000,3.3688762
Asia (UN),2001,3.2861388
Asia (UN),2002,3.1987464
Asia (UN),2003,3.110312
Asia (UN),2004,3.1070535
Asia (UN),2005,2.9657845
Asia (UN),2006,2.8758082
Asia (UN),2007,2.8097327
Asia (UN),2008,2.7752123
Asia (UN),2009,2.7420762
Asia (UN),2010,2.6782172
Asia (UN),2011,2.7211475
Asia (UN),2012,2.7030075
Asia (UN),2013,2.6368656
Asia (UN),2014,2.608817
Asia (UN),2015,2.3975363
Asia (UN),2016,2.315362
Asia (UN),2017,2.1889129
Asia (UN),2018,2.1029654
Asia (UN),2019,2.037763
Asia (UN),2020,2.0178237
Asia (UN),2021,2.3276985
Asia (UN),2022,2.01152
Australia,1990,2.1938055
Australia,1991,1.9686081
Australia,1992,1.7236933
Australia,1993,1.888664
Australia,1994,1.7971971
Australia,1995,1.9774483
Australia,1996,1.9437897
Australia,1997,1.9771594
Australia,1998,1.795538
Australia,1999,2.0477753
Australia,2000,1.9034636
Australia,2001,1.8027713
Australia,2002,1.879251
Australia,2003,1.5330728
Australia,2004,1.319946
Australia,2005,1.2839751
Australia,2006,1.3729398
Australia,2007,1.2241472
Australia,2008,1.2283583
Australia,2009,1.2141697
Australia,2010,1.0490859
Australia,2011,1.1092706
Australia,2012,1.0691061
Australia,2013,1.0600654
Australia,2014,1.0353829
Australia,2015,0.9907542
Australia,2016,0.9381831
Australia,2017,0.84586084
Australia,2018,0.88473505
Australia,2019,0.887323
Australia,2020,0.86092544
Australia,2021,0.74456745
Australia,2022,0.832779
Australia,2023,
Austria,1990,1.1590459
Austria,1991,1.3280661
Austria,1992,1.237116
Austria,1993,1.0119821
Austria,1994,1.1089597
Austria,1995,0.9814659
Austria,1996,1.2440248
Austria,1997,0.8284075
Austria,1998,0.9654129
Austria,1999,0.75080925
Austria,2000,1.0236655
Austria,2001,0.87068725
Austria,2002,0.80455583
Austria,2003,0.6157557
Austria,2004,0.7220467
Austria,2005,0.65637255
Austria,2006,0.73780537
Austria,2007,0.54251367
Austria,2008,0.69702065
Austria,2009,0.6112956
Austria,2010,0.7294182
Austria,2011,0.917628
Austria,2012,0.9608955
Austria,2013,0.7193787
Austria,2014,0.49145418
Austria,2015,0.5091166
Austria,2016,0.6180974
Austria,2017,0.79568094
Austria,2018,0.97279423
Austria,2019,0.86712295
Austria,2020,0.72969943
Austria,2021,0.7285295
Austria,2022,0.88370675
Austria,2023,
Austria-Hungary,2023,
Azerbaijan,1990,4.4292846
Azerbaijan,1991,4.7358365
Azerbaijan,1992,7.378975
Azerbaijan,1993,6.1756253
Azerbaijan,1994,6.3795404
Azerbaijan,1995,5.615179
Azerbaijan,1996,5.032015
Azerbaijan,1997,3.5499725
Azerbaijan,1998,3.4821124
Azerbaijan,1999,2.9871197
Azerbaijan,2000,2.759349
Azerbaijan,2001,2.6322072
Azerbaijan,2002,2.532212
Azerbaijan,2007,2.1287594
Azerbaijan,2008,2.1334054
Azerbaijan,2010,2.2301123
Azerbaijan,2011,2.2545106
Azerbaijan,2012,2.129549
Azerbaijan,2013,2.2986164
Azerbaijan,2014,2.4225302
Azerbaijan,2015,2.1392045
Azerbaijan,2016,1.6940236
Azerbaijan,2017,1.8070674
Azerbaijan,2018,1.9404045
Azerbaijan,2019,1.6417869
Azerbaijan,2020,2.236277
Azerbaijan,2021,1.9102119
Azerbaijan,2022,2.3653047
Azerbaijan,2023,
Bahamas,1990,16.624859
Bahamas,1991,10.142815
Bahamas,1992,14.540425
Bahamas,1993,12.145841
Bahamas,1994,17.687284
Bahamas,1995,13.353185
Bahamas,1996,16.725014
Bahamas,1997,14.830553
Bahamas,2000,22.76825
Bahamas,2001,13.045088
Bahamas,2002,15.568769
Bahamas,2003,14.771463
Bahamas,2004,12.824642
Bahamas,2005,14.95095
Bahamas,2006,17.296892
Bahamas,2007,21.808025
Bahamas,2008,20.121555
Bahamas,2009,23.637674
Bahamas,2010,25.182709
Bahamas,2011,33.60233
Bahamas,2012,28.791214
Bahamas,2013,30.856995
Bahamas,2014,31.35191
Bahamas,2015,37.178745
Bahamas,2016,28.031967
Bahamas,2017,30.57491
Bahamas,2018,22.642082
Bahamas,2019,23.482475
Bahamas,2020,17.959438
Bahamas,2021,29.173424
Bahamas,2022,31.22073
Bahamas,2023,
Bahrain,1995,0.8157485
Bahrain,1996,1.2643104
Bahrain,1997,0.9193395
Bahrain,2001,1.2324429
Bahrain,2002,1.069055
Bahrain,2007,0.38441873
Bahrain,2008,0.5403731
Bahrain,2009,1.1022059
Bahrain,2010,0.16479284
Bahrain,2011,0.99003613
Bahrain,2012,0.7347299
Bahrain,2013,0.87185824
Bahrain,2014,0.6864282
Bahrain,2015,0.22024135
Bahrain,2016,0.28375617
Bahrain,2017,0.411852
Bahrain,2018,0.3361706
Bahrain,2019,0.26770374
Bahrain,2020,0
Bahrain,2021,0.06834027
Bahrain,2022,0.2037721
Bahrain,2023,
Bangladesh,2000,2.587595
Bangladesh,2001,2.7933366
Bangladesh,2002,2.611454
Bangladesh,2003,2.5427973
Bangladesh,2004,2.8114474
Bangladesh,2005,2.549098
Bangladesh,2006,2.9208682
Bangladesh,2007,2.6801088
Bangladesh,2008,2.8187065
Bangladesh,2009,2.8758037
Bangladesh,2010,2.687492
Bangladesh,2011,2.640286
Bangladesh,2012,2.7049658
Bangladesh,2013,2.852039
Bangladesh,2014,2.8943079
Bangladesh,2015,2.556548
Bangladesh,2016,2.247401
Bangladesh,2017,2.1935306
Bangladesh,2018,2.339875
Bangladesh,2023,
Barbados,1990,13.134107
Barbados,1991,8.095543
Barbados,1992,8.454628
Barbados,1993,8.046116
Barbados,1994,7.6420026
Barbados,1995,6.481042
Barbados,1998,7.586059
Barbados,1999,8.706532
Barbados,2000,7.556951
Barbados,2001,9.420578
Barbados,2002,9.382447
Barbados,2003,12.336494
Barbados,2004,8.193516
Barbados,2005,10.761586
Barbados,2006,12.942567
Barbados,2007,9.210003
Barbados,2008,8.4361725
Barbados,2009,6.939587
Barbados,2010,11.284586
Barbados,2011,9.800843
Barbados,2012,7.965315
Barbados,2013,8.668485
Barbados,2014,9.009236
Barbados,2015,11.147751
Barbados,2016,7.8952374
Barbados,2017,10.745486
Barbados,2018,10.011137
Barbados,2019,17.131874
Barbados,2020,14.606706
Barbados,2021,11.379821
Barbados,2022,15.267989
Barbados,2023,
Belarus,1990,4.8712544
Belarus,1991,4.44652
Belarus,1992,5.6701527
Belarus,1993,7.2134075
Belarus,1994,7.9137826
Belarus,1995,9.176332
Belarus,1996,9.29434
Belarus,1997,9.816436
Belarus,1998,10.002446
Belarus,1999,9.448712
Belarus,2000,9.87668
Belarus,2001,9.498874
Belarus,2002,9.75789
Belarus,2007,6.604935
Belarus,2008,5.639659
Belarus,2009,4.9909263
Belarus,2010,4.12067
Belarus,2011,3.8425949
Belarus,2012,3.5074148
Belarus,2013,3.4361293
Belarus,2014,3.5074182
Belarus,2015,3.3606138
Belarus,2016,3.1623044
Belarus,2017,2.4722195
Belarus,2018,2.3309605
Belarus,2019,2.3258288
Belarus,2023,
Belgium,1990,1.0409307
Belgium,1991,1.023646
Belgium,1992,1.2075212
Belgium,1993,1.4407883
Belgium,1994,1.1917552
Belgium,1995,1.4066094
Belgium,1996,1.1853924
Belgium,1997,1.4278859
Belgium,2000,2.0654025
Belgium,2001,2.735406
Belgium,2002,3.0804682
Belgium,2021,1.0765264
Belgium,2023,
Belize,2000,17.054483
Belize,2001,25.796103
Belize,2002,33.9861
Belize,2003,25.37898
Belize,2004,29.030403
Belize,2005,28.88988
Belize,2006,31.863733
Belize,2007,32.640865
Belize,2008,33.696304
Belize,2009,30.874954
Belize,2010,40.048866
Belize,2011,37.628494
Belize,2012,43.019176
Belize,2013,28.721668
Belize,2014,34.909958
Belize,2015,33.067406
Belize,2016,37.57019
Belize,2017,37.89764
Belize,2018,37.42809
Belize,2019,34.43889
Belize,2020,25.827984
Belize,2021,31.247578
Belize,2022,27.882475
Belize,2023,
Benin,2023,
Bermuda,1990,1.7400383
Bermuda,1991,5.183675
Bermuda,1992,1.7146041
Bermuda,1993,5.107296
Bermuda,1994,10.15031
Bermuda,1996,6.6844363
Bermuda,1997,3.3207698
Bermuda,1998,0
Bermuda,1999,3.279683
Bermuda,2000,0
Bermuda,2001,4.857277
Bermuda,2002,1.6092824
Bermuda,2003,3.201665
Bermuda,2004,1.5938668
Bermuda,2005,3.1766958
Bermuda,2006,4.755828
Bermuda,2007,4.7501802
Bermuda,2008,7.904201
Bermuda,2009,9.470669
Bermuda,2010,11.03283
Bermuda,2011,12.591882
Bermuda,2012,9.439825
Bermuda,2013,7.873272
Bermuda,2014,6.3136296
Bermuda,2015,6.334727
Bermuda,2016,12.684721
Bermuda,2017,7.902015
Bermuda,2018,7.8652215
Bermuda,2019,0
Bermuda,2020,10.93229
Bermuda,2021,10.905975
Bermuda,2022,14.022186
Bermuda,2023,6.243269
Bhutan,1990,3.5813925
Bhutan,1991,2.1137552
Bhutan,1992,4.9455624
Bhutan,1993,3.6479673
Bhutan,1994,3.8368604
Bhutan,1995,3.0329683
Bhutan,1996,2.232583
Bhutan,1997,1.2800235
Bhutan,1998,1.9743602
Bhutan,1999,2.2767475
Bhutan,2000,3.0653586
Bhutan,2001,3.14969
Bhutan,2002,3.069229
Bhutan,2003,0.7878644
Bhutan,2004,2.3077242
Bhutan,2005,1.6583173
Bhutan,2006,1.3367802
Bhutan,2007,2.0539498
Bhutan,2008,2.6096904
Bhutan,2009,2.2933233
Bhutan,2010,2.267842
Bhutan,2011,4.485999
Bhutan,2012,4.576053
Bhutan,2013,3.2926848
Bhutan,2015,1.6144786
Bhutan,2016,1.2003818
Bhutan,2017,1.7193004
Bhutan,2018,1.1809528
Bhutan,2019,1.042401
Bhutan,2020,2.4595277
Bhutan,2023,
Bolivia,2015,4.896265
Bolivia,2016,5.700072
Bolivia,2017,6.5322704
Bolivia,2018,4.945332
Bolivia,2019,4.219977
Bolivia,2020,3.5857422
Bolivia,2021,3.460416
Bolivia,2022,3.967569
Bolivia,2023,4.318496
Bonaire Sint Eustatius and Saba,2023,
Bosnia and Herzegovina,1990,1.6242757
Bosnia and Herzegovina,2000,2.3687894
Bosnia and Herzegovina,2001,1.9547397
Bosnia and Herzegovina,2002,2.1436687
Bosnia and Herzegovina,2004,1.6413782
Bosnia and Herzegovina,2007,1.6467575
Bosnia and Herzegovina,2008,1.673686
Bosnia and Herzegovina,2009,1.8309587
Bosnia and Herzegovina,2010,1.4693967
Bosnia and Herzegovina,2011,1.3624917
Bosnia and Herzegovina,2012,1.7145778
Bosnia and Herzegovina,2013,1.2715757
Bosnia and Herzegovina,2014,1.4001414
Bosnia and Herzegovina,2015,1.6173314
Bosnia and Herzegovina,2016,1.2927371
Bosnia and Herzegovina,2017,1.2209207
Bosnia and Herzegovina,2018,1.1470153
Bosnia and Herzegovina,2019,1.2497351
Bosnia and Herzegovina,2020,1.2958021
Bosnia and Herzegovina,2021,0.9783111
Bosnia and Herzegovina,2022,1.0824096
Bosnia and Herzegovina,2023,
Botswana,2001,12.089016
Botswana,2002,14.205091
Botswana,2003,17.078447
Botswana,2004,13.931584
Botswana,2005,15.373992
Botswana,2006,13.532403
Botswana,2007,14.235042
Botswana,2008,13.998765
Botswana,2009,14.104462
Botswana,2010,14.486074
Botswana,2020,8.678912
Botswana,2021,10.546963
Botswana,2023,
Brazil,1990,19.442558
Brazil,1991,18.357327
Brazil,1992,16.656002
Brazil,1993,17.680256
Brazil,1994,18.543499
Brazil,1995,20.793213
Brazil,1996,23.424881
Brazil,1997,24.0331
Brazil,1998,24.526455
Brazil,1999,24.73625
Brazil,2000,25.79976
Brazil,2001,26.90898
Brazil,2002,27.543724
Brazil,2003,27.960468
Brazil,2004,26.19828
Brazil,2005,25.478415
Brazil,2006,26.037931
Brazil,2007,25.018942
Brazil,2008,26.020863
Brazil,2009,26.455711
Brazil,2010,26.630033
Brazil,2011,26.355639
Brazil,2012,28.197144
Brazil,2013,28.179903
Brazil,2014,29.358646
Brazil,2015,28.356405
Brazil,2016,29.589155
Brazil,2017,30.593037
Brazil,2018,26.636013
Brazil,2019,20.810465
Brazil,2020,22.384066
Brazil,2021,21.258247
Brazil,2022,20.605768
Brazil,2023,
British Indian Ocean Territory,2023,
British Virgin Islands,1990,6.4034834
British Virgin Islands,1991,0
British Virgin Islands,1992,0
British Virgin Islands,1993,0
British Virgin Islands,1994,0
British Virgin Islands,1995,11.315738
British Virgin Islands,1996,11.037223
British Virgin Islands,1999,5.1056876
British Virgin Islands,2001,4.841091
British Virgin Islands,2002,4.6975923
British Virgin Islands,2003,9.09856
British Virgin Islands,2004,17.609121
British Virgin Islands,2006,8.222839
British Virgin Islands,2023,
Brunei,1996,2.9392939
Brunei,1997,2.554156
Brunei,1998,1.2494045
Brunei,1999,1.2230752
Brunei,2000,1.1978683
Brunei,2003,0.84735113
Brunei,2004,0.5548458
Brunei,2005,0.5453789
Brunei,2006,0.8047038
Brunei,2007,0.79208237
Brunei,2008,0.26003203
Brunei,2009,0.76861787
Brunei,2010,0.25249177
Brunei,2011,0.24906228
Brunei,2012,0.98368555
Brunei,2013,0.48578766
Brunei,2023,
Bulgaria,1990,2.5890255
Bulgaria,1991,4.2996397
Bulgaria,1992,5.3296165
Bulgaria,1993,5.690042
Bulgaria,1994,5.755419
Bulgaria,1995,5.8271346
Bulgaria,1996,5.213432
Bulgaria,1997,4.7842484
Bulgaria,1998,4.6266346
Bulgaria,1999,4.006223
Bulgaria,2000,4.0999336
Bulgaria,2001,3.8332958
Bulgaria,2002,3.1975684
Bulgaria,2003,3.1195772
Bulgaria,2004,3.1022272
Bulgaria,2005,2.5463128
Bulgaria,2006,2.3950443
Bulgaria,2007,2.2930324
Bulgaria,2008,2.2410676
Bulgaria,2009,1.9647045
Bulgaria,2010,1.9493504
Bulgaria,2011,1.6969084
Bulgaria,2012,1.8829263
Bulgaria,2013,1.466795
Bulgaria,2014,1.5192327
Bulgaria,2015,1.7238421
Bulgaria,2016,1.0902605
Bulgaria,2017,1.4340552
Bulgaria,2018,1.2926012
Bulgaria,2019,1.1768823
Bulgaria,2020,0.9886555
Bulgaria,2021,1.2925023
Bulgaria,2022,1.1206212
Bulgaria,2023,
Burkina Faso,2023,
Burundi,2012,5.1043954
Burundi,2013,5.123366
Burundi,2014,5.374032
Burundi,2015,4.2975073
Burundi,2016,5.8239098
Burundi,2023,
Cambodia,1992,4.414391
Cambodia,1993,5.8475814
Cambodia,1994,2.8487208
Cambodia,1995,3.6356883
Cambodia,1996,4.84681
Cambodia,1997,2.7730227
Cambodia,1998,6.7957387
Cambodia,1999,4.8827605
Cambodia,2000,4.711672
Cambodia,2001,3.2987006
Cambodia,2002,3.3832788
Cambodia,2003,3.9803839
Cambodia,2004,3.9258254
Cambodia,2005,3.3820043
Cambodia,2006,2.967848
Cambodia,2007,2.8655195
Cambodia,2008,2.3881428
Cambodia,2009,2.338274
Cambodia,2010,2.3044472
Cambodia,2011,1.8389057
Cambodia,2023,
Cameroon,2000,3.041428
Cameroon,2001,4.873089
Cameroon,2002,6.478559
Cameroon,2003,6.126819
Cameroon,2008,4.1326976
Cameroon,2009,6.609979
Cameroon,2010,5.025647
Cameroon,2011,4.0833545
Cameroon,2012,4.1839643
Cameroon,2015,3.741421
Cameroon,2016,3.3190465
Cameroon,2017,4.1159043
Cameroon,2020,4.537375
Cameroon,2023,
Canada,1990,2.3755112
Canada,1991,2.691342
Canada,1992,2.585753
Canada,1993,2.1836066
Canada,1994,2.0565064
Canada,1995,2.0041363
Canada,1996,2.142337
Canada,1997,1.9609975
Canada,1998,1.8543822
Canada,1999,1.7730392
Canada,2000,1.7794689
Canada,2001,1.7869375
Canada,2002,1.8580953
Canada,2003,1.736273
Canada,2004,1.9585313
Canada,2005,2.061093
Canada,2006,1.8689367
Canada,2007,1.8166625
Canada,2008,1.8483653
Canada,2009,1.815805
Canada,2010,1.6400001
Canada,2011,1.774293
Canada,2012,1.582503
Canada,2013,1.4516441
Canada,2014,1.4828578
Canada,2015,1.7099458
Canada,2016,1.7057317
Canada,2017,1.819209
Canada,2018,1.7874861
Canada,2019,1.8362274
Canada,2020,2.016432
Canada,2021,2.0862265
Canada,2022,2.2728262
Canada,2023,
Cape Verde,2003,3.1244206
Cape Verde,2004,4.3158107
Cape Verde,2005,8.928073
Cape Verde,2006,7.015659
Cape Verde,2013,10.001111
Cape Verde,2014,11.903105
Cape Verde,2015,8.330828
Cape Verde,2016,11.103261
Cape Verde,2017,6.7262115
Cape Verde,2018,5.4271564
Cape Verde,2019,5.718935
Cape Verde,2020,6.1787724
Cape Verde,2023,
Cayman Islands,1990,7.6841803
Cayman Islands,1991,7.315155
Cayman Islands,1992,3.487176
Cayman Islands,1993,6.658122
Cayman Islands,1994,6.365879
Cayman Islands,1995,6.0971894
Cayman Islands,1996,2.9245324
Cayman Islands,1997,5.6212935
Cayman Islands,1998,2.7066164
Cayman Islands,1999,0
Cayman Islands,2000,10.08611
Cayman Islands,2001,4.871573
Cayman Islands,2002,0
Cayman Islands,2003,6.8395553
Cayman Islands,2004,11.040818
Cayman Islands,2005,6.4203396
Cayman Islands,2006,2.0756793
Cayman Islands,2007,4.028441
Cayman Islands,2008,7.824267
Cayman Islands,2009,15.208692
Cayman Islands,2010,16.644012
Cayman Islands,2013,8.589294
Cayman Islands,2014,8.394966
Cayman Islands,2017,4.718391
Cayman Islands,2018,10.788484
Cayman Islands,2019,3.024163
Cayman Islands,2020,4.456957
Cayman Islands,2023,
Central African Republic,2023,
Chad,2023,
Chile,2003,3.2347333
Chile,2005,3.5609825
Chile,2006,3.6119704
Chile,2007,3.7343433
Chile,2008,3.529102
Chile,2009,3.742549
Chile,2010,3.181574
Chile,2011,3.7033644
Chile,2012,2.5026278
Chile,2013,3.175342
Chile,2014,2.4763799
Chile,2015,2.3446956
Chile,2016,3.4284678
Chile,2017,4.240938
Chile,2018,4.4114223
Chile,2019,4.853072
Chile,2020,5.7771077
Chile,2021,4.647778
Chile,2022,6.7436137
Chile,2023,
China,1995,2.2457106
China,1996,2.0687962
China,1997,2.1061537
China,2002,2.0513282
China,2003,1.8925831
China,2004,1.9055121
China,2005,1.5917081
China,2006,1.3687598
China,2007,1.2197381
China,2008,1.1134691
China,2009,1.0952669
China,2010,0.9946659
China,2011,0.8853467
China,2012,0.82586884
China,2013,0.77319944
China,2014,0.72791475
China,2015,0.66010606
China,2016,0.615883
China,2017,0.5665558
China,2018,0.53102547
China,2019,0.5189666
China,2020,0.50227034
China,2023,
Christmas Island,2023,
Cocos Islands,2023,
Colombia,1990,74.628716
Colombia,1991,85.427574
Colombia,1992,83.043015
Colombia,1993,82.16443
Colombia,1994,76.72092
Colombia,1995,62.054317
Colombia,1996,63.741085
Colombia,1997,62.211826
Colombia,1998,60.849533
Colombia,1999,63.12033
Colombia,2000,67.6754
Colombia,2001,69.88325
Colombia,2002,70.170975
Colombia,2003,57.29256
Colombia,2004,48.525425
Colombia,2005,42.895775
Colombia,2006,40.86465
Colombia,2007,39.712208
Colombia,2008,36.836437
Colombia,2009,35.693077
Colombia,2010,34.494293
Colombia,2011,35.59345
Colombia,2012,35.90898
Colombia,2013,33.35357
Colombia,2014,28.585234
Colombia,2015,27.128765
Colombia,2016,26.040422
Colombia,2017,25.434488
Colombia,2018,23.877283
Colombia,2019,23.412247
Colombia,2020,22.485472
Colombia,2021,25.667473
Colombia,2022,25.26891
Colombia,2023,
Comoros,2023,
Congo,2023,
Cook Islands,2012,3.489514
Cook Islands,2023,
Costa Rica,1990,4.401166
Costa Rica,1991,4.07481
Costa Rica,1992,4.8164625
Costa Rica,1993,4.6984587
Costa Rica,1994,5.216167
Costa Rica,1995,5.1499414
Costa Rica,1996,5.1692533
Costa Rica,1997,5.6158414
Costa Rica,1998,5.8616924
Costa Rica,1999,6.279749
Costa Rica,2000,6.2575502
Costa Rica,2001,6.340633
Costa Rica,2002,6.2581515
Costa Rica,2003,7.1622787
Costa Rica,2004,6.5838976
